workload,mode,throughput_tps,avg_latency_ms
balanced_50_50,baseline,332394,0.00355607
read_heavy_95_5,baseline,656450,0.00325692
record_100b,baseline,676881,0.00357264
record_1kb,baseline,362245,0.00330172
record_4kb,baseline,604601,0.00442595
update_large,baseline,359503,0.0032064
update_medium,baseline,366927,0.00324542
update_small,baseline,371400,0.00316436
write_heavy_20_80,baseline,241176,0.00350737
balanced_50_50,kdv,368343,0.00319653
read_heavy_95_5,kdv,654417,0.00322301
record_100b,kdv,671280,0.00363571
record_1kb,kdv,363502,0.00328158
record_4kb,kdv,614500,0.00427946
update_large,kdv,365416,0.00323696
update_medium,kdv,351161,0.00332562
update_small,kdv,361992,0.00327139
write_heavy_20_80,kdv,229555,0.00365489
